ID,Nome,Idade,Destino,Classe,Valor_Gasto,Hora_Entrada_Restaurante,Hora_Saída_Restaurante,Objeto_Carregado
723,Luiz Miguel Albuquerque,35,Roma,2ª Classe,338.13,16,17,Boné
724,Rhavi Silva,65,Paris,1ª Classe,279.3,21,23,Jornal
725,Aylla Ferreira,70,Berlim,1ª Classe,307.12,13,15,Celular
726,Alana Cavalcante,54,Paris,2ª Classe,95.77,18,19,Boné
727,Eloá Freitas,50,Berlim,2ª Classe,474.04,22,24,Celular
728,Erick Borges,70,Madri,2ª Classe,350.15,16,18,Celular
729,Antonella da Rocha,66,Berlim,2ª Classe,343.98,19,20,Boné
730,Isadora Moraes,34,Paris,2ª Classe,320.49,13,14,Celular
731,Nina Duarte,44,Berlim,3ª Classe,272.47,21,23,Jornal
732,Maria Luísa Duarte,23,Roma,3ª Classe,376.91,15,16,Boné
733,Mariana Pimenta,29,Roma,2ª Classe,183.23,19,21,Carteira
734,Leandro Camargo,65,Londres,2ª Classe,371.19,13,14,Celular
735,Maria Aragão,31,Londres,1ª Classe,419.12,19,21,Carteira
736,Rebeca Novais,24,Paris,1ª Classe,341.15,20,22,Chocolate
737,Stephany da Luz,66,Madri,1ª Classe,425.53,15,17,Boné
738,José Pedro Gonçalves,54,Berlim,2ª Classe,99.61,22,24,Boné
739,Ana Vitória Albuquerque,66,Madri,1ª Classe,36.53,22,24,Boné
740,Dra. Júlia Ramos,52,Paris,3ª Classe,180.17,20,21,Boné
741,Allana Cassiano,25,Madri,2ª Classe,164.67,10,11,Chocolate
742,Srta. Helena Ribeiro,42,Madri,1ª Classe,169.46,19,21,Carteira
743,Gustavo Henrique Abreu,34,Londres,2ª Classe,240.96,19,21,Jornal
744,Théo da Rocha,49,Roma,1ª Classe,215.36,22,24,Jornal
745,Sra. Manuella Viana,43,Berlim,2ª Classe,98.15,12,13,Celular
746,Sr. Juan Leão,64,Berlim,1ª Classe,282.12,16,17,Carteira
747,Dra. Maria Eduarda Andrade,65,Londres,2ª Classe,404.78,12,14,Boné
748,Ana Clara Farias,58,Madri,3ª Classe,363.07,22,24,Jornal
749,Srta. Ágatha Cavalcante,53,Madri,1ª Classe,205.22,21,22,Carteira
750,Agatha Siqueira,70,Berlim,2ª Classe,421.1,11,13,Chocolate
751,Helena Mendes,34,Berlim,2ª Classe,284.57,22,24,Jornal
752,Pedro Lucas Sampaio,44,Paris,2ª Classe,435.01,19,20,Chocolate
753,Sra. Kamilly Rios,59,Madri,1ª Classe,489.89,14,16,Jornal
754,Melina da Costa,50,Roma,3ª Classe,229.0,11,13,Chocolate
755,Ian Moura,47,Londres,1ª Classe,323.88,15,17,Chocolate
756,Vinicius Sousa,54,Roma,1ª Classe,48.76,15,16,Jornal
757,Bárbara Vargas,59,Berlim,3ª Classe,141.06,20,22,Jornal
758,Henry Rios,46,Berlim,3ª Classe,297.59,17,19,Carteira
759,Sr. Davi Miguel Dias,19,Londres,3ª Classe,124.97,14,15,Jornal
760,Noah Abreu,43,Paris,1ª Classe,41.26,17,18,Carteira
761,Maria Júlia Teixeira,43,Madri,1ª Classe,60.92,19,20,Carteira
762,Gabrielly Borges,42,Berlim,1ª Classe,131.22,14,16,Chocolate
763,Igor da Mota,26,Madri,1ª Classe,24.0,20,22,Celular
764,Otto Borges,38,Roma,2ª Classe,487.74,18,20,Boné
765,Sra. Valentina Aparecida,26,Madri,1ª Classe,299.51,17,19,Boné
766,Dante Carvalho,58,Madri,2ª Classe,455.37,17,18,Celular
767,Sr. Marcelo Camargo,46,Berlim,2ª Classe,211.98,12,14,Carteira
768,Mathias Novaes,51,Londres,2ª Classe,150.51,18,19,Chocolate
769,Mariana da Paz,49,Roma,2ª Classe,14.47,16,18,Chocolate
770,Helena da Rosa,68,Paris,3ª Classe,193.09,16,18,Boné
771,Clara da Cunha,28,Roma,2ª Classe,118.09,11,13,Chocolate
772,Cauê Pastor,51,Madri,3ª Classe,345.47,14,16,Boné
773,Pedro Miguel Correia,22,Londres,1ª Classe,151.9,20,22,Chocolate
774,Samuel Porto,35,Madri,2ª Classe,102.02,10,11,Carteira
775,Lorenzo da Conceição,52,Paris,1ª Classe,486.44,14,16,Carteira
776,Luara da Conceição,46,Paris,1ª Classe,54.2,10,12,Jornal
777,Marcela Vasconcelos,44,Berlim,2ª Classe,499.0,17,18,Jornal
778,Júlia Pacheco,66,Londres,1ª Classe,140.59,16,17,Boné
779,Evelyn Rezende,29,Londres,2ª Classe,410.45,10,11,Bengala
780,João Gabriel Sampaio,63,Londres,2ª Classe,387.9,17,18,Chocolate
781,Dr. Samuel Castro,20,Londres,2ª Classe,370.31,11,12,Boné
782,João Vitor Peixoto,61,Berlim,2ª Classe,87.72,21,22,Chocolate
783,Ana Luiza Nunes,53,Madri,1ª Classe,134.12,20,22,Jornal
784,Gael da Costa,21,Londres,1ª Classe,125.62,16,18,Carteira
785,Emanuel Barros,68,Berlim,3ª Classe,68.63,22,23,Carteira
786,Lara Martins,20,Madri,3ª Classe,242.88,19,20,Jornal
787,Bento Moraes,23,Londres,1ª Classe,254.96,20,22,Celular
788,Maitê Ferreira,66,Paris,1ª Classe,184.2,12,13,Carteira
789,Daniela Sampaio,32,Berlim,3ª Classe,396.4,22,24,Celular
790,Beatriz Fonseca,46,Londres,1ª Classe,347.73,15,16,Jornal
791,Allana Machado,20,Roma,3ª Classe,224.38,14,16,Jornal
792,João Vitor Santos,29,Madri,2ª Classe,168.6,17,19,Celular
793,Sr. Miguel Guerra,56,Madri,1ª Classe,43.75,12,14,Jornal
794,Maria Flor da Cruz,34,Madri,2ª Classe,232.5,22,24,Chocolate
795,Mathias Nunes,19,Madri,2ª Classe,390.25,13,15,Chocolate
796,Manuella Leão,60,Madri,2ª Classe,103.04,20,22,Celular
797,Thomas Araújo,27,Madri,2ª Classe,168.07,20,22,Carteira
798,Emanuella Brito,51,Paris,1ª Classe,419.24,12,13,Celular
799,Luigi Nunes,30,Paris,2ª Classe,103.89,10,12,Chocolate
800,Caleb Pinto,51,Madri,3ª Classe,299.25,10,12,Jornal
801,Luiz Otávio Jesus,63,Paris,1ª Classe,465.8,13,15,Celular
802,Léo da Rosa,23,Roma,3ª Classe,39.74,18,20,Celular
803,Maria Cecília Monteiro,68,Paris,3ª Classe,140.25,10,11,Celular
804,Melissa Garcia,22,Londres,3ª Classe,57.59,21,22,Boné
805,Murilo Alves,30,Londres,3ª Classe,331.87,19,20,Boné
806,Olivia da Rosa,53,Roma,3ª Classe,61.7,20,22,Chocolate
807,Guilherme Caldeira,62,Roma,1ª Classe,91.74,12,14,Boné
808,Dra. Cecília Teixeira,60,Londres,3ª Classe,499.23,17,19,Celular
809,Srta. Sophie Caldeira,53,Berlim,2ª Classe,212.05,20,22,Celular
810,Bianca Cavalcante,38,Madri,1ª Classe,285.94,13,15,Celular
811,Liz Cassiano,65,Berlim,2ª Classe,481.21,17,19,Carteira
812,Esther Vasconcelos,20,Berlim,3ª Classe,17.99,12,14,Carteira
813,Erick Duarte,32,Londres,2ª Classe,20.63,21,23,Celular
814,Mirella Martins,50,Madri,3ª Classe,463.7,12,13,Carteira
815,Júlia Pinto,40,Londres,1ª Classe,139.84,19,20,Jornal
816,Antonella Andrade,69,Berlim,1ª Classe,289.54,19,20,Chocolate
817,Ian Rocha,64,Berlim,2ª Classe,94.72,21,22,Chocolate
818,João Vitor Silva,37,Paris,3ª Classe,406.09,16,17,Celular
819,Lívia Brito,67,Berlim,2ª Classe,441.1,16,18,Celular
820,Stephany Alves,25,Londres,3ª Classe,329.86,19,20,Chocolate
821,Leandro Novais,58,Roma,1ª Classe,159.34,10,12,Boné
822,André Aparecida,27,Berlim,3ª Classe,351.91,12,13,Chocolate
823,Beatriz Borges,43,Roma,3ª Classe,291.87,11,12,Boné
824,Sra. Eloá Novaes,68,Roma,1ª Classe,74.77,11,13,Chocolate
825,Mariane Correia,21,Madri,2ª Classe,138.65,16,18,Celular
826,João Pedro Caldeira,26,Londres,2ª Classe,284.06,17,19,Chocolate
827,Kaique Duarte,30,Madri,3ª Classe,498.57,18,19,Jornal
828,Marcos Vinicius Fernandes,35,Roma,2ª Classe,345.52,19,20,Carteira
829,Augusto Almeida,44,Roma,2ª Classe,180.67,15,17,Chocolate
830,Daniel Correia,19,Berlim,1ª Classe,493.95,19,21,Chocolate
831,Srta. Catarina Pastor,46,Paris,1ª Classe,107.85,15,16,Celular
832,Bruna Cirino,23,Paris,3ª Classe,36.72,19,20,Celular
833,Leandro Vasconcelos,70,Berlim,1ª Classe,178.2,22,23,Jornal
834,Srta. Zoe Sousa,48,Paris,2ª Classe,112.41,18,19,Jornal
835,Bernardo Camargo,51,Berlim,3ª Classe,246.68,21,22,Chocolate
836,Maria Helena Marques,60,Paris,2ª Classe,295.67,20,21,Jornal
837,Alana Vieira,21,Berlim,1ª Classe,396.7,19,21,Carteira
838,Eloah Vasconcelos,59,Paris,1ª Classe,200.44,14,16,Celular
839,Miguel Nunes,19,Berlim,3ª Classe,199.4,16,17,Celular
840,Ester Aparecida,49,Madri,3ª Classe,53.13,13,15,Boné
841,Apollo Nogueira,63,Paris,1ª Classe,131.22,18,20,Jornal
842,Gustavo Henrique Azevedo,43,Londres,1ª Classe,179.92,15,17,Chocolate
843,Sabrina Vieira,33,Madri,2ª Classe,407.83,20,22,Celular
844,Liz da Luz,70,Paris,3ª Classe,475.07,13,14,Jornal
845,Rebeca Cavalcanti,43,Londres,1ª Classe,367.65,18,19,Boné
846,Eduardo Gonçalves,54,Londres,2ª Classe,485.56,19,21,Boné
847,Léo Macedo,26,Londres,3ª Classe,77.9,18,19,Celular
848,Heitor Souza,37,Madri,1ª Classe,220.73,22,23,Chocolate
849,Maria Vitória Barbosa,54,Londres,2ª Classe,43.23,18,19,Carteira
850,Augusto Souza,27,Paris,2ª Classe,441.26,16,18,Jornal
851,Isabella Duarte,65,Berlim,1ª Classe,391.76,11,12,Carteira
852,Marcela Costela,66,Madri,3ª Classe,140.76,19,20,Chocolate
853,Ayla Marques,32,Paris,2ª Classe,48.94,22,24,Carteira
854,Alexia Pinto,56,Roma,3ª Classe,328.29,12,14,Boné
855,Isis Cunha,26,Londres,1ª Classe,120.87,16,17,Celular
856,Sr. Rodrigo Lima,44,Londres,3ª Classe,338.96,13,14,Carteira
857,João Leão,46,Madri,2ª Classe,347.05,17,18,Boné
858,Ana Sales,67,Paris,3ª Classe,370.31,16,18,Boné
859,Dr. Bento Barros,65,Madri,3ª Classe,272.72,20,21,Boné
860,Dr. Breno Cavalcanti,46,Roma,1ª Classe,440.11,13,15,Bastão de Caminhada
861,Breno Marques,20,Madri,2ª Classe,262.9,20,21,Jornal
862,Giovanna Cirino,46,Roma,2ª Classe,389.1,14,16,Carteira
863,Yuri Macedo,36,Madri,1ª Classe,348.08,12,14,Celular
864,Melissa Pacheco,46,Paris,3ª Classe,255.32,12,13,Boné
865,Ryan Rezende,38,Roma,1ª Classe,97.65,19,20,Celular
866,Dante Ferreira,23,Berlim,2ª Classe,348.94,21,22,Chocolate
867,Stephany Viana,25,Paris,1ª Classe,356.05,20,22,Carteira
868,Heloísa Novaes,63,Roma,3ª Classe,397.62,18,19,Boné
869,Antônio Nascimento,42,Paris,1ª Classe,457.0,19,20,Carteira
870,Isaque Gomes,27,Londres,3ª Classe,35.14,14,16,Chocolate
871,Davi Lucca Moraes,46,Berlim,3ª Classe,98.54,12,13,Carteira
872,Rhavi Costa,66,Berlim,1ª Classe,234.73,17,18,Chocolate
873,Dr. José Miguel Rodrigues,49,Londres,1ª Classe,298.54,17,19,Boné
874,Sophie Peixoto,23,Madri,3ª Classe,13.22,18,20,Chocolate
875,Luan Gonçalves,53,Londres,1ª Classe,100.57,10,12,Carteira
876,Milena Ferreira,20,Madri,3ª Classe,156.24,11,12,Carteira
877,José Cardoso,29,Londres,3ª Classe,149.35,20,21,Bengala
878,Sr. Heitor Silveira,65,Madri,2ª Classe,466.43,11,13,Jornal
879,Sr. Diego Moreira,42,Paris,2ª Classe,423.22,11,13,Boné
880,Isabel Moreira,25,Berlim,2ª Classe,268.26,18,19,Chocolate
881,Joaquim da Costa,57,Paris,1ª Classe,289.97,20,21,Boné
882,Amanda da Conceição,62,Madri,3ª Classe,150.72,19,21,Jornal
883,Dra. Maria Luísa Moura,54,Madri,2ª Classe,464.28,19,21,Boné
884,Benjamim Albuquerque,58,Roma,2ª Classe,405.91,19,20,Chocolate
885,Davi Miguel Novais,30,Paris,1ª Classe,21.75,20,21,Chocolate
886,Larissa Marques,31,Madri,2ª Classe,212.88,15,17,Boné
887,Lívia Martins,58,Londres,1ª Classe,323.9,21,23,Jornal
888,Laís Rodrigues,22,Berlim,2ª Classe,258.28,15,16,Carteira
889,Benicio Machado,39,Berlim,2ª Classe,364.95,19,20,Celular
890,Enzo da Rosa,30,Berlim,2ª Classe,461.92,17,19,Celular
891,Sofia Sampaio,59,Londres,2ª Classe,86.14,17,19,Boné
892,Noah Fernandes,70,Roma,3ª Classe,37.45,18,20,Boné
893,Mathias Andrade,61,Berlim,3ª Classe,272.58,13,15,Celular
894,Hellena Rezende,68,Berlim,1ª Classe,485.11,14,15,Jornal
895,Sr. Apollo Cassiano,42,Madri,1ª Classe,289.78,16,17,Chocolate
896,Dom das Neves,68,Berlim,3ª Classe,430.33,21,22,Jornal
897,Sophie Vieira,23,Roma,1ª Classe,192.08,14,15,Boné
898,Emanuelly Gomes,29,Paris,2ª Classe,394.62,22,23,Celular
899,Kaique Mendes,46,Madri,1ª Classe,401.52,18,19,Jornal
900,Fernanda Cunha,48,Madri,2ª Classe,390.01,12,13,Celular
901,Kevin Santos,51,Londres,1ª Classe,365.04,17,19,Chocolate
902,Maria Helena da Rocha,51,Paris,1ª Classe,162.38,10,11,Jornal
903,Francisco da Conceição,20,Paris,3ª Classe,385.43,21,23,Carteira
904,Davi Cavalcante,66,Berlim,3ª Classe,447.15,15,16,Jornal
905,Ravi Lucca Aragão,35,Madri,2ª Classe,388.67,20,21,Jornal
906,Ana Julia Cassiano,28,Berlim,1ª Classe,17.48,19,20,Jornal
907,Calebe da Rosa,40,Madri,2ª Classe,142.82,21,23,Chocolate
908,Ana Cecília Araújo,28,Paris,2ª Classe,310.5,15,17,Carteira
909,Raul Borges,19,Roma,3ª Classe,34.72,16,17,Carteira
910,Pedro Lucas Pacheco,43,Londres,3ª Classe,302.1,19,21,Chocolate
911,Srta. Brenda Freitas,37,Berlim,1ª Classe,359.32,20,21,Bengala
912,Maria Liz da Paz,66,Roma,3ª Classe,74.58,22,24,Carteira
913,Mathias Sales,37,Roma,2ª Classe,123.53,13,14,Celular
914,Ana Vitória Albuquerque,57,Berlim,2ª Classe,202.12,21,23,Celular
915,Sr. Matteo Pereira,38,Roma,2ª Classe,24.83,17,18,Jornal
916,Dra. Liz Sales,47,Londres,2ª Classe,386.29,19,20,Boné
917,Eloá Rodrigues,43,Paris,2ª Classe,282.51,11,13,Boné
918,Cauã Moura,43,Madri,2ª Classe,126.9,13,14,Bengala
919,Dra. Mirella Pinto,42,Paris,2ª Classe,112.04,21,23,Celular
920,Carlos Eduardo Câmara,45,Madri,2ª Classe,276.82,13,14,Chocolate
921,Matteo Vasconcelos,22,Madri,2ª Classe,66.02,19,21,Jornal
922,Srta. Maria Eduarda da Conceição,24,Roma,1ª Classe,160.94,16,17,Chocolate
923,Nicole Nascimento,61,Madri,2ª Classe,170.43,20,21,Carteira
924,Dr. Josué Cavalcanti,70,Londres,3ª Classe,452.6,20,21,Celular
925,Isabelly Pires,60,Londres,2ª Classe,270.32,16,18,Jornal
926,Vinícius da Costa,61,Berlim,2ª Classe,289.44,20,22,Celular
927,Alexandre da Cruz,45,Berlim,1ª Classe,295.54,19,21,Celular
928,Isis Correia,36,Paris,2ª Classe,451.53,10,11,Chocolate
929,Sra. Mirella da Mata,70,Berlim,1ª Classe,432.01,10,11,Boné
930,Henrique Barros,55,Roma,3ª Classe,165.88,16,18,Boné
931,Bento Borges,52,Londres,3ª Classe,94.97,12,13,Boné
932,Luara Pereira,41,Roma,1ª Classe,151.35,20,21,Carteira
933,Breno Pimenta,22,Paris,1ª Classe,363.46,17,19,Bengala
934,Srta. Caroline Pinto,26,Paris,1ª Classe,324.7,16,18,Celular
935,Lavínia Cardoso,62,Madri,2ª Classe,315.39,17,19,Boné
936,Luana Lima,46,Roma,2ª Classe,120.61,16,17,Chocolate
937,Theodoro Pereira,64,Londres,3ª Classe,255.85,16,18,Carteira
938,Asafe Cirino,20,Madri,2ª Classe,355.39,11,13,Faca
939,Augusto Borges,23,Londres,3ª Classe,368.33,22,24,Boné
940,Milena Costela,23,Madri,3ª Classe,53.34,17,18,Chocolate
941,Théo Cavalcante,52,Madri,2ª Classe,310.39,15,16,Boné
942,Dante Borges,50,Roma,3ª Classe,369.57,16,18,Faca
943,Diogo Machado,69,Berlim,2ª Classe,92.08,21,23,Chocolate
944,Eduarda Monteiro,54,Berlim,1ª Classe,318.36,19,20,Chocolate
945,Dra. Alice Jesus,60,Berlim,3ª Classe,315.92,14,16,Carteira
946,Sr. Nicolas Sá,50,Paris,2ª Classe,133.5,19,21,Jornal
947,Sr. Pietro Melo,34,Paris,3ª Classe,64.66,12,13,Chocolate
948,Bella Campos,41,Londres,2ª Classe,393.44,13,15,Carteira
949,Luiz Henrique Aragão,51,Paris,2ª Classe,492.2,12,13,Celular
950,Marcos Vinicius Guerra,66,Roma,2ª Classe,126.59,17,18,Jornal
951,Bryan Oliveira,64,Berlim,1ª Classe,324.71,22,23,Carteira
952,Mariane Sampaio,47,Roma,2ª Classe,157.67,21,22,Boné
953,Maria Sophia Camargo,63,Roma,2ª Classe,138.69,18,20,Carteira
954,Asafe da Rosa,69,Roma,2ª Classe,342.46,18,19,Carteira
955,Heloísa Dias,52,Berlim,2ª Classe,309.14,20,22,Jornal
956,Cauê Borges,35,Paris,2ª Classe,330.63,16,18,Celular
957,Gustavo Henrique Rodrigues,65,Londres,3ª Classe,339.23,22,23,Boné
958,Sophia Siqueira,61,Londres,2ª Classe,278.33,20,21,Celular
959,Lara da Mota,18,Roma,1ª Classe,267.38,20,22,Jornal
960,Dante Moura,64,Berlim,2ª Classe,104.61,10,11,Carteira
961,Aylla Pastor,56,Londres,3ª Classe,322.66,21,22,Carteira
962,Dr. Oliver Melo,56,Londres,2ª Classe,331.63,20,21,Celular
963,Dante Borges,62,Londres,2ª Classe,154.34,20,21,Chocolate
964,Dr. Otávio Costa,35,Roma,3ª Classe,452.66,22,24,Jornal
965,Sr. Léo Freitas,67,Paris,2ª Classe,390.78,16,18,Jornal
966,Sr. Pedro Lucas Alves,21,Berlim,2ª Classe,97.19,11,13,Bengala
967,Heitor das Neves,30,Madri,2ª Classe,97.44,17,18,Carteira
968,Srta. Isadora Castro,67,Roma,1ª Classe,310.84,11,13,Chocolate
969,Natália Novaes,24,Paris,1ª Classe,44.5,21,23,Celular
970,Diego Gomes,19,Roma,1ª Classe,329.9,10,11,Chocolate
971,Pedro Henrique Caldeira,35,Londres,3ª Classe,171.62,16,17,Boné
972,Emanuella Casa Grande,67,Roma,2ª Classe,223.67,21,22,Boné
973,Carolina Lopes,18,Roma,3ª Classe,410.81,17,18,Chocolate
974,Theo Costa,40,Berlim,3ª Classe,158.39,10,11,Jornal
975,Francisco Vargas,39,Paris,2ª Classe,382.62,14,15,Carteira
976,Dr. Dom Oliveira,20,Roma,3ª Classe,103.59,21,23,Celular
977,Augusto Aragão,58,Berlim,2ª Classe,51.58,20,22,Chocolate
978,Marcela Rios,26,Paris,1ª Classe,22.43,19,20,Boné
979,Mariah Leão,22,Madri,3ª Classe,160.79,18,20,Bengala
980,Daniela Oliveira,19,Paris,2ª Classe,37.47,22,23,Boné
981,Carolina Pereira,31,Madri,2ª Classe,470.64,18,19,Chocolate
982,Pedro Henrique Nascimento,32,Paris,1ª Classe,370.38,17,18,Boné
983,Sr. Samuel Abreu,57,Paris,1ª Classe,353.64,12,13,Carteira
984,Gabrielly Jesus,21,Berlim,1ª Classe,233.53,12,13,Celular
985,Isaac Nascimento,24,Paris,2ª Classe,301.54,19,20,Carteira
986,Asafe Rezende,30,Roma,2ª Classe,407.65,21,23,Jornal
987,Srta. Valentina Leão,61,Madri,3ª Classe,77.29,22,23,Celular
988,Rafael Montenegro,55,Londres,2ª Classe,40.98,14,15,Celular
989,Brenda Freitas,28,Berlim,3ª Classe,90.85,13,14,Carteira
990,Ana Carolina Sousa,68,Madri,2ª Classe,391.05,10,12,Carteira
991,Alexandre Fonseca,18,Londres,1ª Classe,356.3,19,21,Boné
992,Luiz Otávio Cassiano,69,Roma,3ª Classe,72.18,12,14,Boné
993,Dr. André Alves,44,Londres,1ª Classe,309.16,10,11,Chocolate
994,Diego Siqueira,57,Paris,3ª Classe,414.98,14,16,Boné
995,Sra. Ester Câmara,53,Londres,1ª Classe,67.58,18,19,Chocolate
996,Sra. Luara Martins,66,Madri,3ª Classe,117.45,22,23,Jornal
997,Juliana Duarte,30,Paris,1ª Classe,345.77,17,19,Carteira
998,João Pedro da Cunha,60,Paris,1ª Classe,325.98,14,15,Boné
999,Davi Lucca Rios,39,Madri,2ª Classe,31.23,21,22,Celular
1000,Emanuella Fernandes,29,Londres,1ª Classe,247.68,11,12,Celular
1001,Gael Henrique Rocha,64,Roma,3ª Classe,294.08,16,17,Chocolate
1002,Lucas Gabriel Pastor,38,Londres,1ª Classe,169.8,11,12,Chocolate
1003,Giovanna da Mota,30,Roma,1ª Classe,46.03,19,21,Carteira
1004,Larissa Cunha,45,Londres,1ª Classe,464.66,17,18,Boné
1005,Lorena Fonseca,26,Roma,3ª Classe,105.14,15,17,Jornal
1006,Mariane Sá,26,Paris,3ª Classe,288.65,14,15,Carteira
1007,Matteo Melo,47,Roma,2ª Classe,93.89,15,16,Celular
1008,Luan Teixeira,56,Londres,3ª Classe,476.85,12,13,Carteira
1009,Arthur Gabriel Castro,51,Roma,1ª Classe,299.87,17,19,Carteira
1010,Bianca Ramos,45,Londres,1ª Classe,170.38,19,20,Celular
1011,Dra. Maria Fernanda Duarte,55,Londres,3ª Classe,450.14,16,17,Carteira
1012,Ágatha Pastor,48,Madri,1ª Classe,218.59,16,18,Celular
1013,Mariah Cavalcante,62,Paris,2ª Classe,252.69,11,12,Chocolate
1014,Diego Cunha,44,Londres,1ª Classe,185.62,13,14,Carteira
1015,Daniela Farias,60,Berlim,1ª Classe,354.62,19,20,Bengala
1016,Caleb Vieira,47,Londres,3ª Classe,208.63,22,24,Chocolate
1017,Sr. Matteo Novais,63,Paris,3ª Classe,44.64,21,23,Boné
1018,Lucas Martins,36,Roma,2ª Classe,352.05,19,20,Celular
1019,Bella da Mata,23,Madri,2ª Classe,370.52,10,12,Celular
1020,Sophia Fernandes,25,Roma,2ª Classe,238.02,10,12,Jornal
1021,Juliana Cunha,59,Madri,3ª Classe,42.83,21,22,Carteira
1022,Ana Liz Rezende,39,Londres,3ª Classe,65.64,17,18,Chocolate
1023,Luara das Neves,66,Londres,2ª Classe,182.83,14,16,Jornal
1024,Cecilia Peixoto,22,Berlim,2ª Classe,231.68,18,19,Boné
1025,Joaquim Aragão,52,Madri,2ª Classe,231.47,15,16,Carteira
1026,Dr. Ravi Lucca Guerra,47,Paris,1ª Classe,201.43,12,14,Faca
1027,Dra. Olivia Caldeira,22,Paris,1ª Classe,145.21,21,22,Boné
1028,Sr. José Pedro Fernandes,31,Madri,3ª Classe,21.12,16,17,Boné
1029,Anthony Gabriel Moura,44,Roma,3ª Classe,325.9,14,15,Carteira
1030,Oliver Machado,69,Londres,3ª Classe,325.89,16,18,Chocolate
1031,Sofia Cavalcante,68,Berlim,2ª Classe,300.75,21,23,Boné
1032,Caroline Fonseca,54,Londres,2ª Classe,94.15,14,15,Boné
1033,Dra. Olivia Aparecida,36,Paris,1ª Classe,183.03,17,18,Chocolate
1034,Danilo Costa,28,Madri,2ª Classe,99.32,12,13,Carteira
1035,Srta. Rebeca Rezende,25,Paris,2ª Classe,291.52,17,19,Jornal
1036,Ana Machado,31,Madri,3ª Classe,27.0,15,17,Carteira
1037,Eloah Barros,46,Madri,1ª Classe,271.49,11,12,Boné
1038,Bento Alves,49,Londres,2ª Classe,464.63,12,13,Bengala
1039,Marina Vargas,52,Madri,2ª Classe,327.15,14,16,Celular
1040,Luiz Gustavo Novaes,66,Madri,3ª Classe,82.07,19,21,Jornal
1041,Otto Machado,25,Roma,1ª Classe,78.32,18,19,Jornal
1042,Srta. Milena Leão,43,Madri,1ª Classe,228.53,11,13,Carteira
1043,Léo Novais,59,Londres,3ª Classe,267.95,22,24,Jornal
1044,Vitor Gabriel Siqueira,23,Madri,2ª Classe,341.76,11,13,Jornal
1045,Sr. Henry Montenegro,38,Madri,3ª Classe,260.66,10,12,Boné
1046,Lorenzo Sales,63,Roma,2ª Classe,199.2,10,12,Jornal
1047,Camila Dias,37,Roma,3ª Classe,52.92,21,23,Chocolate
1048,Luiz Gustavo Nunes,44,Roma,2ª Classe,90.26,21,23,Chocolate
1049,Jade da Cruz,44,Londres,3ª Classe,302.99,12,13,Jornal
1050,Sr. Fernando Ramos,51,Berlim,1ª Classe,467.24,19,21,Carteira
1051,Caio Rios,44,Berlim,2ª Classe,95.7,17,18,Jornal
1052,Maysa Moraes,42,Berlim,3ª Classe,250.39,14,16,Boné
1053,Srta. Melina Ramos,65,Roma,1ª Classe,23.15,10,11,Jornal
1054,João Miguel Marques,58,Roma,1ª Classe,330.37,14,16,Carteira
1055,Melina Aparecida,62,Londres,1ª Classe,68.48,14,16,Bastão de Caminhada
1056,Mathias Aragão,22,Madri,3ª Classe,187.26,17,19,Celular
1057,Raquel Azevedo,58,Roma,3ª Classe,410.96,15,16,Celular
1058,Benjamim Moreira,28,Madri,1ª Classe,81.61,17,18,Jornal
1059,Henrique Mendes,21,Berlim,2ª Classe,215.56,15,16,Jornal
1060,Ana Vitória Pereira,51,Paris,3ª Classe,104.97,20,21,Celular
1061,Renan Cavalcanti,56,Londres,3ª Classe,168.08,15,17,Jornal
1062,Vitória Cunha,62,Berlim,1ª Classe,271.87,15,16,Carteira
1063,Nicolas Oliveira,51,Berlim,2ª Classe,391.62,16,18,Celular
1064,Vitória Cardoso,28,Paris,1ª Classe,85.73,13,14,Celular
1065,Maria Sousa,53,Madri,3ª Classe,417.39,18,19,Boné
1066,Maria Flor Nogueira,22,Paris,1ª Classe,462.47,17,19,Jornal
1067,Dra. Ayla Sá,41,Londres,2ª Classe,445.97,19,21,Carteira
1068,Maria Eduarda da Mota,37,Paris,3ª Classe,409.14,13,14,Celular
1069,Evelyn Oliveira,27,Londres,2ª Classe,71.42,12,13,Boné
1070,Clarice Porto,66,Paris,1ª Classe,19.22,17,19,Carteira
1071,Kaique Freitas,24,Paris,3ª Classe,261.6,10,12,Carteira
1072,Igor Mendonça,34,Paris,1ª Classe,157.81,10,11,Celular
1073,Caleb Vargas,56,Londres,3ª Classe,451.58,12,14,Carteira
1074,Eloá Cirino,27,Berlim,3ª Classe,180.44,12,13,Boné
1075,João Pedro da Conceição,22,Paris,3ª Classe,383.99,18,19,Chocolate
1076,Sr. Marcelo Duarte,36,Londres,3ª Classe,12.12,21,22,Celular
1077,Maria Sophia Lopes,50,Roma,2ª Classe,352.09,12,14,Chocolate
1078,Vitor Cardoso,24,Londres,2ª Classe,490.84,16,17,Boné
1079,Luiza Novais,44,Paris,2ª Classe,70.57,11,12,Boné
1080,Mariana Dias,41,Berlim,3ª Classe,363.85,11,13,Boné
1081,Joaquim Sampaio,42,Berlim,2ª Classe,304.19,14,16,Jornal
1082,Dra. Hadassa Duarte,44,Berlim,2ª Classe,102.5,11,13,Celular
1083,Enzo da Costa,41,Londres,1ª Classe,499.37,17,18,Boné
